,문장,hate,probability,pred
20,40세 이상 한녀들은 임신도 못하는 사실상 쓸모없는 분리수거 대상,1,0.9909876,1.0
21,52퍼 되는 여자들 강한나 테러하네 ㅋㅋ 그만들 하세요 님들 너무 추해 보임,1,0.8642631,1.0
22,82키로 김지영 왜보냐...? 저런 쓰레기 영화 안봄 ㅋ,1,0.8595993,1.0
23,HOT 팬들은 사람죽일 정도로 극성이였다든데,1,0.1656019,0.0
24,JTBC 는 좌빨 방송인데. 이래서 여자들이 문재앙 좋아하나?,1,0.853794,1.0
25,Metoo운동은 무슨 얼어죽을... 마녀사냥이지...youtoo운동으로 대항해야함,1,0.8079093,1.0
26,No no japan!!! 필요없다,1,0.51928526,1.0
27,OOO 조개갖고 개ㅈㄹ하는 태콩이나 개촐싹대는조샌징들이나 ㅈㄴ웃김ㅋㅋㅋ,1,0.9900123,1.0
28,OOO들 모임이네. 뉴스에1분도 못나오는 뒷방3류아나라 잃을것도업시 친문좌파 방송국설립하려고 아나퇴사하고 개쌉친아나들. 와꾸만 번지르하고 속은맘충들과동급. 소신지키고 아나로서 소명을다한 배현진이 새삼 이쁘다,1,0.9901612,1.0
29,OOO옆에는 OOO들이침흘리면서 있다는걸 모르는뇬들이 있네..무조건 남자혐오증 걸리지말고연예인. 인기인이라면 빤쯔흘리는뇬들이 얼마나 많은지 모르나...,1,0.9878065,1.0
30,SE$ 아닌가요 이제 Sea Eugene $hoo,1,0.12427951,0.0
31,Xx같은 한국 x 같은법 이라는 승리놈하고 클럽 뭐 어쩌고 관련잇던애 아니엇나? 그런데 얼쩡거리고 드나들던애들 연예계 방송가에서 퇴출하지? 여자연예인들이 인물이 그리도 없어? 내가 추천 좀해주까?,1,0.7250546,1.0
32,aoa가 걸그룹으로 가치고 있음? ㅋㅋㅋ요즘 아이돌은 20살만 넘어도 늙은거임 ㅋㅋㅋ 아이즈원 장원영 안유진 ITZY 유나같은애들 봐라 17살이니까 존나쩔지 ㅋㅋㅋ여자는 무조건 어린게 최고임,1,0.7757332,1.0
33,life*니같은 개돼지가있어서 개한민국이 엉망진창인거야.주제를알아야지.일베충만큼 개돼지인 문베충 나라 문화 방송말아먹는 쓰레기들,1,0.9915154,1.0
34,mbc 요즘 일반인들 섭외 ㅈㄴ하네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한심,1,0.7917264,1.0
35,mc 몽은 욕하면서 약쟁이는 칭찬하냐? 반칙으로 딴 메달이 무슨 정당성이 있다고. 에휴.. 개.돼지들.,1,0.99141043,1.0
36,oecd여성들중에 가장 의욕없고 꿀빨러에 핑계대기 일상인 한국 여자들이 전세계도 아니고 oecd 선진국 여자들에 비비면서 임금문제 거론하는게 가장 어이없다,1,0.9554875,1.0
37,ubd 안마 제이튠 주식 먹튀 ㅆㄹㄱ,1,0.48283237,0.0
38,‘노무현’하지 않은게 다행이네요,1,0.12057108,0.0
39,★속보★!!!! ㅈ됐다~~!!!! 국민가수 조용필도 빨갱이다~~ 마!! 조용필이 저거 고향이 으데고?? 전라도 아이라 카이??,1,0.97596437,1.0
40,"♥기사에서 윤총경, 승리 다 전라도 동향으로 서로 술먹고, 골프하고 승리외 운영술집 영업정지외 계속 봐주고 . 태어나지 말고 분리되어야할 절라도♥",1,0.9722634,1.0
41,ㄴ와 약쟁이 ^^,1,0.9637046,1.0
42,ㅁㅊ 약쟁이 슬슬 기어나오시구요~,1,0.8686316,1.0
43,ㅅㅂ 더럽게 메갈어로 제목뽑는거 봐라,1,0.87179923,1.0
44,ㅅㅂ 모르고저런거지 알고 저랬겠냐 꼰대 새키들 드럽게 말많네 ㅋㅋㅋ,1,0.99033946,1.0
45,ㅅㅅ 한게 자랑? ㅈㅅ로 그것도,1,0.87260777,1.0
46,ㅅㅅ는 언제 하셨나요?,1,0.5386022,1.0
47,ㅆㄹㄱ와 같은 한남들 말 무시하셔요^~~^우리 팜므파탈 나래씨^~^♡♡,1,0.9916916,1.0
48,ㅆ성과들과 비교가 안되는 자연미 너무 좋다.거의 이영애배우급 미모.,1,0.75875723,1.0
49,ㅇㄴ 씨뱅 마약한것도 성추행한것도 아닌데 무안줫다고 존ㄴ 지ㄹㅏㄹ하네ㅋㅋㅋㅋㅋㅋㅋ 여자연예인이 감히 생글거리지 않았다고 기사 헤드라인까지 비꼬기시전,1,0.9129938,1.0
50,ㅇㅣ아즘마는 조용히 살고 싶다면서 왜 자꾸 기어나와? 돈도 많이벌었다고 예능에서 깝치더만.진심 관종임?,1,0.89658934,1.0
51,ㅇ정보부에서 조사하나봐요 .. 승리 곧 자살하겠네 아니..경찰이 질소넣고 자살했다고 하겠네..,1,0.6827315,1.0
52,ㅈ 라인이 너무 이쁘다,1,0.14492081,0.0
53,ㅈㄹ병들 사기를치던 절도를하던 깜방서 있어봐라 하루라도 빨리 나오고 싶은게 인간에 본성이다죄는미워하고 사람은 똑같다,1,0.9915044,1.0
54,ㅈㅇ과 이별한 아별,1,0.14087021,0.0
55,ㅉㅉ 아빠 없이 무슨.... 친가 뿌리와 족보는 제대로 알려주고 키울지 걱정이구먼,1,0.7875798,1.0
56,ㅉㅉ 하여간 지가망하면 남탓하고보는 한국사람들은 이래서 안돼 한국은 평생후진국이다대표적인 예로 문재앙,1,0.9729821,1.0
57,ㅋㅋ 문재앙 이제 하다하다 박명수 한테도 욕먹네 ㅋㅋㅋ,1,0.62253565,1.0
58,ㅋㅋ 시선강x 싫다는 언냐들 왜 설리는 싫어하냐 ;; ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0.6711957,1.0
59,ㅋㅋ 이형 한번에 두명 먹었네 ㅋㅋ같이좀먹자,1,0.85358167,1.0
60,ㅋㅋㅋ 14키로 뺄게 아니라.. 0하나 더 붙여서 140키로 빼야 하지 않음?? 보통 저런 몸은 임신도 힘들고..임신해도..차이가 없어 모르던데..출산까지 ㅋㅋㅋ 암튼 행복하게 잘 서시길~~~,1,0.8769043,1.0
61,ㅋㅋㅋ 41살에20살이랑결혼한다데니 김새론영입하누 영계킬러ㅋㅋㅋ 사촌형 ㅇㅈㄹㅋㅋ후전드냐ㅋㅋ,1,0.6643739,1.0
62,ㅋㅋㅋ 강다니엘 빠순이들 많네~ 뭔가있었겠지.있었으니까 저난리피웠겠지.맹목적으로만 쳐보질말고 실체를봐라.쉴드칠게 따로있는거야 빠순이들아,1,0.94823766,1.0
63,ㅋㅋㅋ 그냥 빼도 못생긴건 여전한데 뭐라는거야 자기들끼리 훈훈거려 ㅌㅋㅋ,1,0.92675805,1.0
64,ㅋㅋㅋ 저런것도 정신병임. 정신과상담받으세요,1,0.99170166,1.0
65,ㅋㅋㅋ 한국에서 더러운 불체자 태국넘들 개많은데 그 쉐리들도 일단 깜방보내자ㅋㅋㅋ,1,0.8282732,1.0
66,ㅋㅋㅋㅋㅋ 정존물 ㅋㅋㅋㅋㅋ,1,0.12890236,0.0
67,ㅋㅋㅋㅋㅋㅋㅋㅋ 면허증 개같이땄넼ㅋㅋㅋㅋㅋㅋㅋ,1,0.8429366,1.0
68,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 앞으로 여차하면 한서희를 정신병자로 만들수도 있다는 말로 들린다... 더러븐 yg,,, 제발 상장폐지 되기를...",1,0.99170953,1.0
69,ㅋㅋㅋㅋㅋㅋㅋ남욕하기전에 늬들 집구석이랑 인성부터 뒤돌아보고 댓글써라 아 그리고 전신거울도ㅇㅇ,1,0.8527749,1.0
70,ㅋㅋㅋㅋㅋㅋㅋ애초에 여자들이 왜욕하는데? 성상품화때문아님? 저 기사 댓글에 한남새 기들 성희롱 오지는데 그딴 스 레기짓만 안해도 성상품화한다고 욕먹지 않음 한남들 지들 때문에 욕먹는건 모르고 좋다고 성희롱 오지네,1,0.99162877,1.0
71,ㅋㅋㅋㅋ게이인줄 ㅋㅋㅋ옷이랑 화장좀봨ㅋㅋㅋㅋ,1,0.12041445,0.0
72,ㅋㅋㅋㅋ아니 뭐 그럼 딸이랑 인연 끊고 살리?ㅋㅋㅋ 김치녀들 진짜 별거 가지고 다 욕하네 ㅋㅋㅋ 세계원정성매매1위 김치녀,1,0.99172723,1.0
73,ㅋㅋㅋㅋ재미로 사람인생을 조지려 햇다는거내.... ㅋㅋㅋ법이 이따구로 벌금 맥이고 끝내니깐 재미로 저러지....남의 인생 조지려 햇던 저분들 인생 조져 주새요....,1,0.9595598,1.0
74,ㅋㅋㅋㅋ차유람 세뇌당해서 예수쟁이됨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0.8423146,1.0
75,ㅋㅋㅋ돈떨어졌냐??? 뭐만하면 기어들어와 ㅉㅉ 연기하다가 또 니상황 ㅈ됐다싶으면 그냥 또 토낄려고???이순재 배우가 너 그딴식으로 해서 싫어하는거야. 이쁜척은 졸라 해대면서 책임감 없는년,1,0.81899947,1.0
76,ㅋㅋㅋ원래 돈많고 능력잇으면 여자 여럿 끼고 사는거야 ㅋㅋㅋ 근데 웃기는건 니들같은 쿵쾅이들은 거기도 못낌 ㅋㅋㅋㅋㅋ,1,0.97927034,1.0
77,ㅋㅋㅋ원래도 이쁜이레 ㅋㅋㅋ 쿵쾅이들아 니네는 원래도 빻앗고 살빼도 빻앗어 ㅋㅋㅋㅋ,1,0.9062873,1.0
78,ㅋㅋㅋ으이그... 진짜 정신병자들 많다,1,0.99168044,1.0
79,ㅋㅋ웃긴뇬이네.호텔방까지 따라간뇬이,1,0.53922486,1.0
80,ㅎ 장태준이 죽인거면 시즌2할 이유없음 적폐급수 = 장태준(최정상 적폐) >>> 송희섭(적폐) > 이엘리야(정의로운 척 하는 적폐) 호구레벨 = 이성민 의원 > 강의원 보좌관 > 한도경(멍청할 정도로 착하기만 한 답답한 호구),1,0.95830566,1.0
81,ㅎㅎ 다시는 복귀한다 어쩐다 안 하면 좋겠네요 영원히 복귀하지마세요 이중성에 놀랐습니다ㅎ,1,0.122435294,0.0
82,가만히 있던 스엠 머리채 잡지마 ㅅ1뱔 언플 안해줘서 지금 다들 개빡쳐 있으니깐ㅗㅗ,1,0.6791937,1.0
83,가만히있어도 dm오는 여자라는 성별과. 연예인임에도 dm보내야 여자만날수있는 성별인 남자.. 명확한 권력관계지. 여자는 편하고 남자만 고생하고. 여성우월주의국가,1,0.9588105,1.0
84,가볍게 생겼자녀.딱봐도.양하치,1,0.6838716,1.0
85,가부장제 한남은 도태가 답이지,1,0.99165726,1.0
86,가시나들이 무조건 밀어붙이는 사랑해서 한 결혼 이혼으로 가는 지름길,1,0.9430039,1.0
87,가시나들이 여자 가해자들도 나와야 입을 닥치지 진짜 못봐주겠네,1,0.9817669,1.0
88,가식떨지 맙시다. 솔직히 만약 당신앞에 마닷같은 남자가 다가온다면 당신은 빤스 안내릴 자신있나요? 진짜 다내립니다. 좋다고 하트날릴땐 언제고 이제와서 비난하는 여자들 진짜 못되보임.,1,0.8505455,1.0
89,가식이라쓰고 메뚜기라 읽는다 빼박팩트,1,0.77974087,1.0
90,가임기 여자들이 다이어트에 집착하는 이유는 임신하지 않았다는 걸 남자에게 알리기 위해서지.임신한 여자를 유혹하는 남자는 없으니까,1,0.9414047,1.0
91,가장 천박한애가세상을 구한다모티브,1,0.8056545,1.0
92,갈수록 군대복무기간줄이네26개월갓다온거 억울하네 스브얼,1,0.13226011,0.0
93,갑분싸 동정여론 뭐냐 ㅋㅋㅋㅋㅋㅋ 전국민을 기만한 놈인데 죽어도 싸지,1,0.97225225,1.0
94,갑상선항진증이라 눈튀어나온거 고쳐진거라 하잖아요. 그병이 얼굴고 붓고 그랬을텐데 다 빠진걸테고 .... 눈들어가는 성형도 있소??,1,0.81286365,1.0
95,"강가ㄴ빛 시후 인생 , 미투운동 동참하고 고해한후 전자발찌 차야 된다",1,0.758205,1.0
96,"강가ㄴ빛인생 시후 , 미투고백 해라 , 고해한다음 셀프 전자발찌 차러 가즈아",1,0.7213307,1.0
97,강간모 자살 안 하는거보니 진짜 억울하긴 한가보네,1,0.9809443,1.0
98,강남 챙녀들 망해라앗,1,0.98631555,1.0
99,강지환팬은아니지만 감금되있으면 핸드폰은 쓰게하냐?그리고 남자집엔 왜쳐들어가 술마시냐? 하여간 또 뭐바라고 저러는거지,1,0.82188576,1.0
100,강한나가 훨씬 아깝다! 짱께는 잘생겨도 냄새난다!,1,0.9915451,1.0
101,같이 사기고 성희롱 욕은 다 여자가 받고 남자는 여자 사기는게 능력이라고 ㅂㅅ 남자 죽어버려 수지야 힘내,1,0.9839154,1.0
102,같이 합의해서 원나잇 해놓구서는 나중엔 성폭행 당했다라 주장했던 사례가 어디 한둘입니까? 철저한 검증을 통해서 진위 여부를 가린 다음에 욕해도 늦지 않습니다.,1,0.5016559,1.0
103,개 ㅂㅅ 괜히 지들이랑 종족 같은애들 욕하니가 괜~~~~ 히 수지 물고 늘어지졍~? ㅋㅋㅋㅋ,1,0.8751742,1.0
104,개 찌질한 새기 니 잘났다,1,0.8880446,1.0
105,개oooo새oooo끼가 19살? 장난하는것도아니구. 먹는 음식 가지고 장난좀 하지 말자.,1,0.95641196,1.0
106,개같은 새 끼,1,0.9898822,1.0
107,개나소나 국민청원이야,1,0.7981507,1.0
108,개독으로 개종 약속하고 결혼하나?,1,0.99007285,1.0
109,개돼지 네티즌은 무었이 진실인지는 중요하지 않고 니편 내편이 중요한거지. 음식에 이념을 갖다 붙이고 비판하는 넘들 진짜 한심한 부류들...,1,0.9911788,1.0
110,개돼지 민국 또 ㅈㄴ 가겠네ㅋㅋㅋ,1,0.9861627,1.0
111,개돼지집단 개한민족의 실상. 사촌이 땅사면 배아픈 민족이라 앞에선 웃어도 뒤에서 호박씨 까는게 일상임. 소름돋는 개한민족 무섭다.,1,0.9850494,1.0
112,"개돼지특: 일본기업 유니클로,일본맥주 등등 불매! 하지만 스파이더맨이랑 트와이스는 소비ㅋㅋㅋㅋㅋㅋ",1,0.967975,1.0
113,개듣보네 ㅋㅋㅋㅋㅋㅋ남자 뭔 프로게이머같이생겼네,1,0.7902539,1.0
114,개랑 고양이에 환장한 애들치고 정상인 애들이 없음,1,0.8924239,1.0
115,개망나니 또 결혼? ㅎㅎ 재앙이다 문재앙,1,0.8400183,1.0
116,개복어도 장가 보내자!,1,0.7037429,1.0
117,개쳐늙으면 꼴보기 싫어지는게 사람의 마음이지 얘네야 광고수익으로 번게 많으니 얼굴에 돈들이고 관리하니 금술이 당연히 좋을수밖에 사람이란 다 그런거임 아무리 이쁘고 잘생겼어도 관리안하면 상대쪽에서 싫어하게되어있음,1,0.87906826,1.0
118,개티즌들 또 소설쓴다 그 난리법석 친 김광석 마누라 사건도 무혐의로 끝났구만,1,0.74927074,1.0
119,개티즌들 마녀사냥 역겹다진짜,1,0.8213705,1.0
120,개판이네 김준호는 디엔에이에 도박있는듯 차태현도 실망이다. 틀딱들만 보는 프로 폐지해라,1,0.9916642,1.0
121,갠적으로 이런 스타일은 싸보인다..... 스카이캐슬의 그런 지적인 스타일이 어울리는듯....이건 술집 여자 같다,1,0.7744688,1.0
122,걍 다쓰고 죽지 존경 무쓸모다,1,0.97190756,1.0
123,걍 부러우면 부럽다 해라. 뭘 돈이면 다 된다고 비꼬냐? 월 300 받을라고 사장 똥꼬도 빠는 것들이ㅋㅋ,1,0.9914363,1.0
124,걍 조용히 나대지말고 결혼하지..노총각 노처녀가 결혼하는게 뭐 자랑이라고..건모성격에 굉장한 이벤트를 벌인다면 눈요기감은 될런지..쩝,1,0.95856804,1.0
125,"거거, 남자가 사업하다보면 접대도 할수 있는것이지... 비즈니스를 모르시네..",1,0.6770082,1.0
126,거기서 박씨는 빼라 신혜선이 다 먹여살린거고 박씨는 차려진 밥상에 숟가락 하나만 들고 온 뻔뻔한 도둑OOO인데,1,0.518655,1.0
127,걸그룹 생명은 끝났고 이제 애낳는거로~~?이제 젖타령까지~~가지가지한다,1,0.50995547,1.0
128,걸래도 이런 걸래는 없다,1,0.39690813,0.0
129,걸려야 할 메퉤지 년들은 안걸리고;;,1,0.99134225,1.0
130,걸복동이 급한가보구나.,1,0.62051475,1.0
131,걸크러쉬 이딴거 하지마라 82킬로 지영이들만 좋아라하지 정작 그 연예인들한테는 마이너스일뿐이다,1,0.77013695,1.0
132,검색어 조작 하지 마라. 지금 코로나 때문에 난리인데 듣도보도 못한 검색어 하여간 이번 정부는 조작 정부,1,0.7563246,1.0
133,검은머리 외국인 극혐..이나라에서 사라져라,1,0.98998064,1.0
134,겁없는 어린 여자애 하나가 여러명을 보내는구나.서바이벌부터 봐온 비아이는 진심으로 아깝다.정신적으로 미숙했던 사람을마약으로 접근시켰던 저런 사람들이 너무 무섭다.,1,0.8131656,1.0
135,겉은젊어보여도속은 늘어졋겟지?,1,0.72073543,1.0
136,게이니 seki.....,1,0.1334694,0.0
137,견찰... 실명 오픈 조건이 뭐냐? 필로폰 투약이라면서 할리는 홀랑 다까발리더니웃기는 견찰,1,0.6770392,1.0
138,결국 구걸해서 앨범냈다는 소리네?,1,0.13666683,0.0
139,결국 남자를 죽게 하는건 뇨쟈들...요즘 여자들 순결 지키고 한 남자 한테올인 하는 여자들 잇는지...원나잇 하는 세상에 ...여자들 니들은 남편 이랑할때 아다라시 엿나 ㅋㅋ,1,0.98212266,1.0
140,결국 승자는 핑클이네..ses 빠돌이들 다 대가리 박아라..ㅋㅋㅋ,1,0.95170903,1.0
141,"결별관심없고, 그냥 한혜진 왜나오는지 모르겠음 화사가 차라리 백번 착해보이고 궁금함",1,0.132222,0.0
142,결혼사기로 피임안했으니 애생긴거지 아니면 여자가 임신하면 인생망치는데 했겠냐? 그래놓고 애죽이라고 하고 양육비 주기싫어 저런건데 피임을하든지 애가지면 책임져라.,1,0.8866139,1.0
143,결혼식장에 술집걸들 8명 오겠네신부가 9번째로 입장하고.술집에서 8명과 술먹은건 사실이고화장실은 경찰조사 하면 나오겠지빨리좀 고소해라. 언능,1,0.81032044,1.0
144,결혼하기 10kg증가 ㅋㅋㅋ 그것도 임신도아닌데?? 정나미 떨어질만하지...게다가 상장폐기녀인데,1,0.8403693,1.0
145,결혼한 유부남 쫓아다니는 빠순이들 진심 노답이다. ㅋㅋㅋ 역시 빠순이 화력,1,0.8607434,1.0
146,결혼해라 어차피 소시 끝났잖아.,1,0.1385582,0.0
147,결혼했구나..이런 백치미 있는 여자가 좋지,1,0.9618054,1.0
148,결혼했으면 여자가 애를 낳고 대를 이어야지 요즘 여자들은 무슨 생각으로 결혼을 하려는지 모르겠다. 남자 등꼴 빼먹을 생각뿐인가?!,1,0.85461235,1.0
149,경단녀가 한다는 게 겨우 출판사에서 연애하기냐? 남자 없인 회사 생활이 안 됨???,1,0.7960621,1.0
150,경준아 와이프 말 안들으면 좀 패라,1,0.79002815,1.0
151,계속 제 잘난 맛에 사니 그렇지. 언젠가 크게 걸릴거야. 비싼 넌 일반인은 싸구려 기성복으로 보일테지. ''싼 게 비지떡이예요.'',1,0.74601376,1.0
152,계집들댓글보소ᆢ누가 아깝니 그런 개소리는 여자들 왜 하는겨 ᆢ 여자종특인가,1,0.9782516,1.0
153,계집들은 대체로 이기적이더라,1,0.65548027,1.0
154,계집들은 여름에 브라자 대신에 꼭지만 가리는 접착식 테이프 붙이지 않나?,1,0.5963891,1.0
155,계집새끼덜 젖들젖들 봐라~ㅋ 계집새끼 나이가 저 나이대였으면 상폐되어 임신 불구년인디...ㅋ,1,0.99091667,1.0
156,계집이란 어차피 사내의 손을 타게되는것을.. 그리고 사내로 태어나서 계집질도 하는거지. 계집년 한두명때문에 대한민국 영화계 거물하나가 또 사라지는구나!,1,0.50137293,1.0
157,고 김주혁님 돌아가셨을때 김주혁님 기사로 인터넷 도배되니까 그 난리치던 엑소의 개집들이었지 아마? ㅋㅋㅋㅋ,1,0.69250584,1.0
158,고딩때 처맞은거 30살까지 기억할정도면 진성찐1따 맞는듯ㅋㅋ 처맞는데는 다 이유가있다ㅋ,1,0.44981694,0.0
159,고우시다 상폐들이 질투할만하네 ㅎㅎ,1,0.98710036,1.0
160,고층아파트는 살지말고 1층이나 반지하에 사시길 ㅎㅎ,1,0.59998375,1.0
161,고현정 배되지가 불러서 그런행동 하는거지돈이 아쉬워서 하는것도 아니니 지맘에 안들면 무뢰한짓 하는거지 뭐가끔 얼굴 까먹을까 드라마 뜨문뜨문 등장하고그냥 접고 동남아나가서 살아라 얼굴도 못생긴게 지꾸 방송탈라고하네,1,0.9080119,1.0
162,고현정 저러니까 이혼 당하지 ㅉㅉㅉ,1,0.55445033,1.0
163,골프대회중에 무단이탈한 무개념아니냐?? 것도 개인전도아닌 팀경기서.,1,0.1353481,0.0
164,공놀이나 쳐하는게 뭐 벼슬이라고 ㅋㅋ 김치남 한남들 못생겼으니깐 즈그들끼리 빨아대는거보소 ㅋㅋㅋㅋ,1,0.9917048,1.0
165,공산당 교육밑에서 자랏우니 공산당 말쓰지...한국말 쓰겟니...ㄷ신들...너나 잘하세요..,1,0.97708786,1.0
166,관상학적으로 앞으로 빵을 제집 드나들듯이 들락날락할 상이로구나,1,0.790233,1.0
167,관심없다 문씨아저씨 일자리 언제 없지는가가 관심이다,1,0.23714675,0.0
168,관종이네. 실수할걸 해야지. 딱보니 과격하게 짜증부리는거네. 보기보다 승질 더러운듯. 애는 벽에 똥칠할때까지 살 인간이라는데 엄마걸고 말하는애 엄마를 걸겠어. 오래전에 죽은 전남친일로 죽을 여자로 보이디?,1,0.99031067,1.0
169,관종인건 확실함...,1,0.7909128,1.0
170,관종짓 또 시작? 남친이랑 헤어졌냐 ㅉㅉ,1,0.9897719,1.0
171,광대튀어나온 철가면쓴 아줌마? 개나소나솔로라고,1,0.8040412,1.0
172,교활한놈 황구라 치고있네,1,0.32907584,0.0
173,구라가아니구... 그라다... 기레가...0,1,0.52984726,1.0
174,구하라 나이 정도면 어차피 임신힘든나이다 걱정안해도 된다.,1,0.35237944,0.0
175,구하라 싫음,1,0.23634316,0.0
176,구하라팬인데 죠깥네 남자새끼 뒤졌다,1,0.99149066,1.0
177,구혜선 섹시하지 않은 젖꼭지였구나... 실망..,1,0.44142553,0.0
178,구혜선 안재현을 너무 사랑하네...꼭지도 못생긴게,1,0.8314481,1.0
179,구혜선 참 구질구질하네 ㅉㅉㅉ마음떠난 남자 한테 ㅉㅉㅉ,1,0.81279147,1.0
180,구혜선.. 더러운 뱀같은 구차스런 에휴.. 얍삽한년 바짓가랑이 붙잡고 늘어지는 방법이 차암 천박해 ㅉㅉ,1,0.9701651,1.0
181,구혜선본인이 당당하니까 저렇게 활동하지 안재현은 본인이 잘해서 조용히 있는게아니라 구린게 많으니까 소속사뒤에숨어서 드라마피해갈까봐 조용한거아님 무책임한사람이다,1,0.27928048,0.0
182,구혜선씨 미우새에 미리 양해라도 구하던지누가 무책임한지 모르겠네보기엔 얌전하고 성격 좋아보이드만완전 가식였나봄.이렇게 맘대로 하는거 보니 성질 드러운거 같네,1,0.8245602,1.0
183,국주언니같은 능력있는 천상여자가 결국 잘생기고 키크고 돈많은 남자 만나게되있음~ 꼭 능력없는 것들이 ㅋㅋ 니들은 이런사람 못만나 ㅋ 거울좀보길.....^^;,1,0.9706655,1.0
184,군대 안간 발치몽 도와준 인성 확인 응 손절,1,0.87259036,1.0
185,군대가는게 눈물이나나 이거도럿네,1,0.13626081,0.0
186,군대나 가라 검머외.우리나라 참 좋아.검머외도 이렇게 금의환향해주고말야.,1,0.8647043,1.0
187,군복입고나오면 적폐아녀? 문재인이좋아하는 인민복에 인공기달고나오면 쭉쭉올라갈텐데.ㅋㅋ,1,0.7554925,1.0
188,궁금한건 기레기들 뿐이지 어디다 뒤집어 씌우려고 수작이야,1,0.7558947,1.0
189,권상우 참 잘 생겼네 김희원? 이름도 희한하네 저놈 저거 인상 참 더럽게 생겼어 미생에서도 살인 충동 생기던데,1,0.6300158,1.0
190,권태기 온거 맞네. . 단물 쪽 빨고 버리는듯. .주위에 여자가 많다는거지. Very very dog 임. . 문제는 이런남자를 여자들이 좋아한다는거.,1,0.7753527,1.0
191,그 나이에 임신이 가능합니까?,1,0.12975124,0.0
192,그 놈도 나쁜새끼지만 얘도 정상적인 정신은 아닌게 섹시하지 않은 젖꼭지에서 놀랬다 차라리 가슴이라고 했다면 좀 더 지성적으로 보였을텐데...이제 고마해라 관종으로 밖에는 느껴지지 않으니..,1,0.98881114,1.0
193,그 여자 완전 또라이네. 또라이 잘못 건들여서 고생하네요,1,0.69572544,1.0
194,그 임신만 줄기차게하는 개념없는 한뇬때문에,1,0.8257899,1.0
195,그건 모르겠고 갑자기 이 듣보잡이 쳐나대는게꼴보기싫음,1,0.9906082,1.0
